frame_id,track_id,x1,y1,x2,y2,confidence,timestamp
1,1,640.39,240.38,683.86,322.75,0.8367,0.1
1,2,253.48,219.07,282.29,308.76,0.8324,0.1
1,3,499.27,156.86,530.2,231.52,0.8119,0.1
2,1,637.13,241.46,680.34,323.16,0.8089,0.2
2,2,263.14,219.59,291.76,307.67,0.8638,0.2
2,3,499.28,158.35,529.81,231.94,0.7877,0.2
3,1,632.44,241.68,676.06,324.26,0.8053,0.3
3,2,266.76,219.75,295.79,307.29,0.8753,0.3
3,3,497.34,158.99,528.71,234.57,0.7777,0.3
4,1,616.35,239.91,660.26,323.93,0.8041,0.4
4,2,274.42,217.1,303.19,303.23,0.8123,0.4
4,3,493.59,160.23,525.01,236.18,0.7981,0.4
5,1,602.93,240.69,646.84,324.23,0.851,0.5
5,2,281.69,214.62,311.04,301.62,0.812,0.5
5,3,490.69,161.46,521.88,237.55,0.791,0.5
6,1,594.99,240.72,639.79,325.17,0.8428,0.6
6,2,286.1,211.73,316.83,301.17,0.8432,0.6
6,3,486.75,162.48,518.05,239.12,0.8179,0.6
7,1,588.02,240.13,632.81,325.07,0.7538,0.7
7,2,290.99,212.19,322.15,300.93,0.8395,0.7
7,3,483.66,163.84,515.19,241.21,0.8018,0.7
8,1,577.73,238.4,621.36,323.51,0.7894,0.8
8,2,296.72,211.5,328.05,299.41,0.8496,0.8
8,3,481.24,163.95,513.06,242.39,0.7505,0.8
9,1,567.42,237.92,610.95,324.31,0.7796,0.9
9,2,301.7,209.72,333.03,297.63,0.8214,0.9
9,3,477.66,164.87,509.0,242.41,0.7888,0.9
10,1,557.53,238.85,601.26,324.5,0.8131,1.0
10,2,307.15,208.87,337.73,294.98,0.8151,1.0
10,3,472.9,164.35,504.56,242.65,0.7815,1.0
11,1,545.91,237.8,589.11,324.13,0.7495,1.1
11,2,317.84,207.48,349.19,293.95,0.8384,1.1
11,3,467.9,166.87,500.2,245.49,0.8196,1.1
12,1,534.51,236.97,577.06,325.03,0.763,1.2
12,2,322.59,206.08,354.84,293.14,0.8496,1.2
12,3,462.98,168.08,495.82,247.57,0.7944,1.2
13,1,523.92,236.92,566.06,324.5,0.8016,1.3
13,2,325.55,204.81,358.0,291.47,0.81,1.3
13,3,459.08,168.39,491.39,247.67,0.7355,1.3
13,5,742.87,297.15,764.58,407.36,0.7853,1.3
14,1,511.97,237.55,554.56,324.75,0.8138,1.4
14,2,333.18,200.78,365.75,287.82,0.8831,1.4
14,3,452.7,169.46,484.45,248.67,0.7558,1.4
14,5,736.68,294.14,759.32,407.07,0.8179,1.4
15,1,501.63,236.14,542.99,323.25,0.759,1.5
15,2,337.42,198.64,370.67,287.06,0.9039,1.5
15,3,446.91,171.16,478.79,249.54,0.7824,1.5
15,5,731.81,291.31,755.58,406.42,0.8132,1.5
16,1,492.02,234.78,532.08,322.0,0.7498,1.6
